name,header,superhost,guests_rooms,rating,reviews,location,rarity,rarity_desc,house_rules,health_safety,cancellation,host_response,per night,total price,url,host
"Wonderful river view, splendid Kyoto house",Entire Home,None,4 guests · 2 bedrooms · 1 bed · 1 bath,4.88 ·,172 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Good price.,Your dates are $32 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 2:00 AMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Nearby lake, river, other body of waterCarbon monoxide alarmSmoke alarmShow more",Free cancellation for 48 hours.,Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第29号Response rate: 100%Response time: within an hour,$62.99 x 7 nights,$593.03,https://www.airbnb.com/rooms/30221877?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Ayako
Apt. for  family&friends w/Cycle Port&WiF,Entire rental unit,Superhost,4 guests · 2 bedrooms · 3 beds · 1.5 baths,5.0 ·,9 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $81Show more",Free cancellation before Aug 4.,"Policy number: M260024823Languages: English, Français, 日本語Response rate: 100%Response time: within an hour",$54.89 x 7 nights,$435.29,https://www.airbnb.com/rooms/41567231?adults=2&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000,Yoshimi
Super location best host w/Cycle Port & wifi,Entire rental unit,Superhost,3 guests · 1 bedroom · 2 beds · 1.5 baths,4.89 ·,294 reviews,"Nakagyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 4:00 PM - 12:00 AMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo parties or eventsPets are allowedShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $85Show more",Free cancellation before Jul 27.,"Policy number: M260003977Languages: English, Français, 日本語Response rate: 100%Response time: within an hour",$57.29 x 7 nights,$456.83,https://www.airbnb.com/rooms/6249629?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Yoshimi
Traditional house with a garden ＆ open-air bath,Entire villa,Superhost,7 guests · 3 bedrooms · 2 beds · 1 bath,4.89 ·,105 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Pool/hot tub without a gate or lockCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 18.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第279号Response rate: 100%Response time: within an hour,$116.53 x 7 nights,"$1,141.98",https://www.airbnb.com/rooms/42572392?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,Takeshi
雲町屋 小蛸  KumoMachiya KOTAKO,Entire home,None,7 guests · 3 bedrooms · 2 beds · 2.5 baths,4.87 ·,53 reviews,"Kyoto, Kyoto Prefecture, Japan",Good price.,Your dates are $69 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 16.,"Policy number: Hotels and Inns Business Act | 京都市医務衛生センター | 京都市指令保医セ第637号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$103.48 x 7 nights,$749.57,https://www.airbnb.com/rooms/30075745?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Kumo Machiya
The only Kyomachiya in the center of Kyoto City!!!,Entire home,Superhost,8 guests · 4 bedrooms · 8 beds · 2 baths,4.88 ·,34 reviews,"Shimogyo Ward, Kyoto, Kyoto, Japan",Good price.,Your dates are $31 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 10:00 AMNo smokingNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 28.,Policy number: Hotels and Inns Business Act | 京都市指令保保医 | 京都市指令保保医第158号Response rate: 100%Response time: within an hour,$75.13 x 7 nights,$630.02,https://www.airbnb.com/rooms/45872409?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,Soochan
【C2 KYOTO SUITE】 private open-air bath,Private room in home,Superhost,2 guests · 1 bedroom · 2 beds · 1 private bath,5.0 ·,108 reviews,"Kyoto Shimogyo-ku, Kyoto, Japan",Good price.,Your dates are $30 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show more󱠃Pool/hot tub without a gate or lockSmoke alarmShow more,Free cancellation before Aug 6.,"Policy number: Hotels and Inns Business Act | 京都府京都市 | 京都市指令保医セ第136号Languages: English, 日本語Response rate: 100%Response time: within an hour",$82.00 x 7 nights,$708.03,https://www.airbnb.com/rooms/39777948?adults=2&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000,Akiko
✿Kyoto✿/Near Station & Bus/Temple/Twin Room(^^♪✿✿,Room in hotel,Superhost,2 guests · 1 bedroom · 2 beds · 1 private bath,4.81 ·,199 reviews,"Kyoto, Japan",This is a rare find.,Fuji Hotel's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show more󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 14.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 57 号Response rate: 100%Response time: within an hour,$53.81 x 7 nights,$188.36,https://www.airbnb.com/rooms/50290730?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Fuji Hotel
★Live Like a Local in Stylish Kyoto Home Near Gion,Entire home,Superhost,5 guests · 2 bedrooms · 2 beds · 1 bath,4.92 ·,62 reviews,"Kyoto, Kyoto Prefecture, Japan",This is a rare find.,Corehouse's place on Airbnb is usually fully booked.,House rulesCheck-in: 4:00 PM - 8:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 9.,Policy number: M260005984Response rate: 100%Response time: within an hour,$153.53 x 7 nights,"$1,006.63",https://www.airbnb.com/rooms/27713598?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,Corehouse
Stay in Kyoto central island,Entire townhouse,None,3 guests · 1 bedroom · 1 bed · 1.5 baths,5.0 ·,18 reviews,"Kyoto, Japan",This is a rare find.,Hasu's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with building staffNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 5.,"Policy number: Hotels and Inns Business Act | 京都市指令保医せ | 京都市指令保医せ第374号Languages: English, Français, Italiano, 日本語, Português, EspañolResponse rate: 100%Response time: within an hour",$55.11 x 7 nights,$436.76,https://www.airbnb.com/rooms/42780789?adults=2&children=0&infants=0&check_in=2022-08-06&check_out=2022-08-13&previous_page_section_name=1000,Hasu
